shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
RUTA_ESC_VAL,9.30159,-70.66674,122
RUTA_ESC_VAL,9.30161,-70.66671,123
RUTA_ESC_VAL,9.30163,-70.66667,124
RUTA_ESC_VAL,9.30165,-70.66664,125
RUTA_ESC_VAL,9.30167,-70.66661,126
RUTA_ESC_VAL,9.30169,-70.66658,127
RUTA_ESC_VAL,9.30171,-70.66655,128
RUTA_ESC_VAL,9.30173,-70.66652,129
RUTA_ESC_VAL,9.30174,-70.66648,130
RUTA_ESC_VAL,9.30176,-70.66645,131
RUTA_ESC_VAL,9.30177,-70.66642,132
RUTA_ESC_VAL,9.30178,-70.66638,133
RUTA_ESC_VAL,9.3018,-70.66635,134
RUTA_ESC_VAL,9.30181,-70.66631,135
RUTA_ESC_VAL,9.30182,-70.66628,136
RUTA_ESC_VAL,9.30182,-70.66624,137
RUTA_ESC_VAL,9.30183,-70.6662,138
RUTA_ESC_VAL,9.30184,-70.66617,139
RUTA_ESC_VAL,9.30184,-70.66613,140
RUTA_ESC_VAL,9.30185,-70.6661,141
RUTA_ESC_VAL,9.30185,-70.66609,142
RUTA_ESC_VAL,9.30185,-70.66606,143
RUTA_ESC_VAL,9.30185,-70.66605,144
RUTA_ESC_VAL,9.30185,-70.66602,145
RUTA_ESC_VAL,9.30185,-70.66598,146
RUTA_ESC_VAL,9.30186,-70.66595,147
RUTA_ESC_VAL,9.30186,-70.66591,148
RUTA_ESC_VAL,9.30186,-70.66587,149
RUTA_ESC_VAL,9.30186,-70.66584,150
RUTA_ESC_VAL,9.30187,-70.6658,151
RUTA_ESC_VAL,9.30187,-70.66576,152
RUTA_ESC_VAL,9.30187,-70.66573,153
RUTA_ESC_VAL,9.30187,-70.66572,154
RUTA_ESC_VAL,9.30186,-70.66569,155
RUTA_ESC_VAL,9.30186,-70.66565,156
RUTA_ESC_VAL,9.30186,-70.66561,157
RUTA_ESC_VAL,9.30185,-70.66558,158
RUTA_ESC_VAL,9.30185,-70.66555,159
RUTA_ESC_VAL,9.30185,-70.66554,160
RUTA_ESC_VAL,9.30184,-70.6655,161
RUTA_ESC_VAL,9.30184,-70.66547,162
RUTA_ESC_VAL,9.30183,-70.66543,163
RUTA_ESC_VAL,9.30182,-70.6654,164
RUTA_ESC_VAL,9.30181,-70.66536,165
RUTA_ESC_VAL,9.3018,-70.66533,166
RUTA_ESC_VAL,9.30179,-70.66529,167
RUTA_ESC_VAL,9.30178,-70.66525,168
RUTA_ESC_VAL,9.30177,-70.66522,169
RUTA_ESC_VAL,9.30176,-70.66518,170
RUTA_ESC_VAL,9.30175,-70.66515,171
RUTA_ESC_VAL,9.30174,-70.66511,172
RUTA_ESC_VAL,9.30173,-70.66508,173
RUTA_ESC_VAL,9.30172,-70.66505,174
RUTA_ESC_VAL,9.30172,-70.66504,175
RUTA_ESC_VAL,9.30171,-70.66501,176
RUTA_ESC_VAL,9.3017,-70.66497,177
RUTA_ESC_VAL,9.30169,-70.66493,178
RUTA_ESC_VAL,9.30168,-70.6649,179
RUTA_ESC_VAL,9.30167,-70.66486,180
RUTA_ESC_VAL,9.30166,-70.66483,181
RUTA_ESC_VAL,9.30165,-70.66479,182
RUTA_ESC_VAL,9.30164,-70.66476,183
RUTA_ESC_VAL,9.30163,-70.66472,184
RUTA_ESC_VAL,9.30162,-70.66468,185
RUTA_ESC_VAL,9.30162,-70.66467,186
RUTA_ESC_VAL,9.30155,-70.66444,187
RUTA_ESC_VAL,9.30135,-70.6638,188
RUTA_ESC_VAL,9.30119,-70.66328,189
RUTA_ESC_VAL,9.30108,-70.66292,190
RUTA_ESC_VAL,9.30102,-70.66272,191
RUTA_ESC_VAL,9.30091,-70.66232,192
RUTA_ESC_VAL,9.30084,-70.66199,193
RUTA_ESC_VAL,9.30083,-70.66193,194
RUTA_ESC_VAL,9.30082,-70.66191,195
RUTA_ESC_VAL,9.30087,-70.66149,196
RUTA_ESC_VAL,9.30099,-70.66123,197
RUTA_ESC_VAL,9.30105,-70.66112,198
RUTA_ESC_VAL,9.30126,-70.66084,199
RUTA_ESC_VAL,9.3013,-70.66079,200
RUTA_ESC_VAL,9.30138,-70.66069,201
RUTA_ESC_VAL,9.30142,-70.66065,202
RUTA_ESC_VAL,9.30156,-70.66047,203
RUTA_ESC_VAL,9.30183,-70.66015,204
RUTA_ESC_VAL,9.30209,-70.65983,205
RUTA_ESC_VAL,9.30235,-70.6595,206
RUTA_ESC_VAL,9.30257,-70.65925,207
RUTA_ESC_VAL,9.30262,-70.65919,208
RUTA_ESC_VAL,9.30287,-70.65887,209
RUTA_ESC_VAL,9.30288,-70.65886,210
RUTA_ESC_VAL,9.30299,-70.65873,211
RUTA_ESC_VAL,9.30302,-70.65868,212
RUTA_ESC_VAL,9.30314,-70.65854,213
RUTA_ESC_VAL,9.30321,-70.65845,214
RUTA_ESC_VAL,9.30333,-70.65831,215
RUTA_ESC_VAL,9.30337,-70.65826,216
RUTA_ESC_VAL,9.3034,-70.65822,217
RUTA_ESC_VAL,9.30359,-70.65797,218
RUTA_ESC_VAL,9.30365,-70.65789,219
RUTA_ESC_VAL,9.30381,-70.65755,220
RUTA_ESC_VAL,9.30383,-70.65751,221
RUTA_ESC_VAL,9.30383,-70.65719,222
RUTA_ESC_VAL,9.30383,-70.65712,223
RUTA_ESC_VAL,9.30383,-70.6571,224
RUTA_ESC_VAL,9.30369,-70.6567,225
RUTA_ESC_VAL,9.30355,-70.65653,226
RUTA_ESC_VAL,9.30343,-70.65638,227
RUTA_ESC_VAL,9.3032,-70.65612,228
RUTA_ESC_VAL,9.30315,-70.65607,229
RUTA_ESC_VAL,9.30287,-70.65577,230
RUTA_ESC_VAL,9.30283,-70.65572,231
RUTA_ESC_VAL,9.30279,-70.65567,232
RUTA_ESC_VAL,9.30271,-70.65558,233
RUTA_ESC_VAL,9.3026,-70.65546,234
RUTA_ESC_VAL,9.30233,-70.65514,235
RUTA_ESC_VAL,9.30211,-70.6549,236
RUTA_ESC_VAL,9.30205,-70.65483,237
RUTA_ESC_VAL,9.302,-70.65476,238
RUTA_ESC_VAL,9.30196,-70.65471,239
RUTA_ESC_VAL,9.3018,-70.6545,240
RUTA_ESC_VAL,9.30162,-70.65412,241
RUTA_ESC_VAL,9.30155,-70.65397,242
RUTA_ESC_VAL,9.30148,-70.65381,243
RUTA_ESC_VAL,9.30146,-70.65375,244
RUTA_ESC_VAL,9.30145,-70.65374,245
RUTA_ESC_VAL,9.3013,-70.65336,246
RUTA_ESC_VAL,9.30123,-70.65326,247
RUTA_ESC_VAL,9.30116,-70.65315,248
RUTA_ESC_VAL,9.30107,-70.65301,249
RUTA_ESC_VAL,9.30107,-70.653,250
RUTA_ESC_VAL,9.30091,-70.65281,251
RUTA_ESC_VAL,9.30081,-70.65269,252
RUTA_ESC_VAL,9.30071,-70.65246,253
RUTA_ESC_VAL,9.30064,-70.65231,254
RUTA_ESC_VAL,9.30069,-70.65217,255
RUTA_ESC_VAL,9.30077,-70.65195,256
RUTA_ESC_VAL,9.30078,-70.65193,257
RUTA_ESC_VAL,9.30091,-70.65174,258
RUTA_ESC_VAL,9.30095,-70.65169,259
RUTA_ESC_VAL,9.30097,-70.65165,260
RUTA_ESC_VAL,9.30102,-70.65159,261
RUTA_ESC_VAL,9.30128,-70.65127,262
RUTA_ESC_VAL,9.30141,-70.65107,263
RUTA_ESC_VAL,9.30145,-70.65101,264
RUTA_ESC_VAL,9.30148,-70.65096,265
RUTA_ESC_VAL,9.30151,-70.65092,266
RUTA_ESC_VAL,9.30159,-70.65061,267
RUTA_ESC_VAL,9.3016,-70.65057,268
RUTA_ESC_VAL,9.30161,-70.65052,269
RUTA_ESC_VAL,9.30148,-70.65014,270
RUTA_ESC_VAL,9.30145,-70.6501,271
RUTA_ESC_VAL,9.30141,-70.65007,272
RUTA_ESC_VAL,9.30136,-70.65002,273
RUTA_ESC_VAL,9.30129,-70.64994,274
RUTA_ESC_VAL,9.30119,-70.64984,275
RUTA_ESC_VAL,9.30091,-70.64954,276
RUTA_ESC_VAL,9.30092,-70.64941,277
RUTA_ESC_VAL,9.30094,-70.64929,278
RUTA_ESC_VAL,9.30094,-70.64923,279
RUTA_ESC_VAL,9.30095,-70.64918,280
RUTA_ESC_VAL,9.30095,-70.64914,281
RUTA_ESC_VAL,9.30098,-70.64913,282
RUTA_ESC_VAL,9.30103,-70.6491,283
RUTA_ESC_VAL,9.30113,-70.64904,284
RUTA_ESC_VAL,9.30119,-70.64901,285
RUTA_ESC_VAL,9.30123,-70.64898,286
RUTA_ESC_VAL,9.30131,-70.64894,287
RUTA_ESC_VAL,9.30168,-70.64877,288
RUTA_ESC_VAL,9.30177,-70.6487,289
RUTA_ESC_VAL,9.30182,-70.64866,290
